Student,LPIPS,SSIM
113590047.png,0.0,1.0
113590004.png,0.13877668976783752,0.8424393843152889
113590043.png,0.15811732411384583,0.8681816613983978
113590025.png,0.1654849350452423,0.8637063187033662
111590042.png,0.23781409859657288,0.8690484813301372
111590047.png,0.25228050351142883,0.7578554189449982
113590032.png,0.2684360444545746,0.7617202133581892
113590026.png,0.28451603651046753,0.7464220320254794
113590060.png,0.2907804548740387,0.7563712157320013
113590039.png,0.29465317726135254,0.7346840860912175
113370239.png,0.3024534583091736,0.741832309358568
113590031.png,0.3076293468475342,0.7097916369800098
113590033.png,0.30778416991233826,0.7332494912704831
111590062.png,0.3194509446620941,0.7216868999892955
113590040.png,0.3270251154899597,0.7288011567856127
113590001.png,0.3386094570159912,0.6959196855893978
113590051.png,0.3395366668701172,0.7221038219305811
113590010.png,0.34750568866729736,0.6719933557814866
113590003.png,0.3511431813240051,0.7030332959899802
111590028.png,0.35492411255836487,0.7468174696290488
113590061.png,0.36437392234802246,0.7368253002667952
113590015.png,0.3724222183227539,0.7096532707649164
112590455.png,0.3787377178668976,0.7037795381652242
113590056.png,0.37987565994262695,0.714744005696955
113590044.png,0.3804897964000702,0.6830309226783601
110590455.png,0.3885877728462219,0.7220571827664217
112590454.png,0.39301490783691406,0.6828467666670298
113590021.png,0.3988339900970459,0.6658580456796738
113590052.png,0.39932048320770264,0.6790650926269334
114054809.png,0.40181705355644226,0.7141001212200045
113590022.png,0.40674394369125366,0.6750610597284763
112590452.png,0.4247281551361084,0.6923941654094109
113590042.png,0.4250766336917877,0.6490371509353814
113590057.png,0.4253457486629486,0.6841630963229568
113590045.png,0.4282086491584778,0.6451145072087006
113AC1012.png,0.4316539764404297,0.6853376390872123
113590062.png,0.43488743901252747,0.646932659385738
113AB0018.png,0.44070181250572205,0.6576095306055746
113590036.png,0.44316530227661133,0.6487829791018742
112590040.png,0.44622766971588135,0.661128369111294
113590028.png,0.4496060311794281,0.6157785186001803
113590006.png,0.4514530301094055,0.6047757232366611
113590002.png,0.4595278203487396,0.6423505103509776
113590018.png,0.4757341146469116,0.6541277629681655
113590059.png,0.4771295189857483,0.5988268534684429
113590050.png,0.4778445363044739,0.5926369459325678
113590011.png,0.4887506067752838,0.629948932262572
113590023.png,0.4998284578323364,0.5727962126558725
111590455.png,0.5240162014961243,0.5834990801989799
113590049.png,0.5466509461402893,0.5316122237791833
113590008.png,0.6015774607658386,0.49134045126169
112590058.jpg,0.6074345111846924,0.44864415222778126
